NACA 0012
 1.00000     0.00126
 0.99932     0.00136
 0.99726     0.00164
 0.99384     0.00212
 0.98907     0.00278
 0.98296     0.00363
 0.97553     0.00464
 0.96679     0.00583
 0.95677     0.00717
 0.94550     0.00866
 0.93301     0.01029
 0.91934     0.01204
 0.90451     0.01391
 0.88857     0.01589
 0.87157     0.01796
 0.85355     0.02011
 0.83456     0.02232
 0.81466     0.02459
 0.79389     0.02691
 0.77232     0.02925
 0.75000     0.03160
 0.72699     0.03396
 0.70337     0.03631
 0.67918     0.03863
 0.65451     0.04092
 0.62941     0.04315
 0.60396     0.04531
 0.57822     0.04738
 0.55226     0.04936
 0.52617     0.05122
 0.50000     0.05294
 0.47383     0.05452
 0.44774     0.05592
 0.42178     0.05715
 0.39604     0.05818
 0.37059     0.05899
 0.34549     0.05957
 0.32082     0.05992
 0.29663     0.06002
 0.27301     0.05985
 0.25000     0.05941
 0.22768     0.05870
 0.20611     0.05771
 0.18534     0.05645
 0.16544     0.05490
 0.14645     0.05308
 0.12843     0.05100
 0.11143     0.04865
 0.09549     0.04605
 0.08066     0.04321
 0.06699     0.04014
 0.05450     0.03687
 0.04323     0.03339
 0.03321     0.02973
 0.02447     0.02589
 0.01704     0.02190
 0.01093     0.01777
 0.00616     0.01350
 0.00274     0.00911
 0.00068     0.00461
 0.00000     0.00000
 0.00068    -0.00461
 0.00274    -0.00911
 0.00616    -0.01350
 0.01093    -0.01777
 0.01704    -0.02190
 0.02447    -0.02589
 0.03321    -0.02973
 0.04323    -0.03339
 0.05450    -0.03687
 0.06699    -0.04014
 0.08066    -0.04321
 0.09549    -0.04605
 0.11143    -0.04865
 0.12843    -0.05100
 0.14645    -0.05308
 0.16544    -0.05490
 0.18534    -0.05645
 0.20611    -0.05771
 0.22768    -0.05870
 0.25000    -0.05941
 0.27301    -0.05985
 0.29663    -0.06002
 0.32082    -0.05992
 0.34549    -0.05957
 0.37059    -0.05899
 0.39604    -0.05818
 0.42178    -0.05715
 0.44774    -0.05592
 0.47383    -0.05452
 0.50000    -0.05294
 0.52617    -0.05122
 0.55226    -0.04936
 0.57822    -0.04738
 0.60396    -0.04531
 0.62941    -0.04315
 0.65451    -0.04092
 0.67918    -0.03863
 0.70337    -0.03631
 0.72699    -0.03396
 0.75000    -0.03160
 0.77232    -0.02925
 0.79389    -0.02691
 0.81466    -0.02459
 0.83456    -0.02232
 0.85355    -0.02011
 0.87157    -0.01796
 0.88857    -0.01589
 0.90451    -0.01391
 0.91934    -0.01204
 0.93301    -0.01029
 0.94550    -0.00866
 0.95677    -0.00717
 0.96679    -0.00583
 0.97553    -0.00464
 0.98296    -0.00363
 0.98907    -0.00278
 0.99384    -0.00212
 0.99726    -0.00164
 0.99932    -0.00136
 1.00000    -0.00126
